id,filename,speech_name,noise_name,realization,SNR,technique,rep,pesq,llr,stoi,csii,snrg,srmr,bruno,celso,felipe
0,F200505_WASHING3_-20,F200505,WASHING,3,-20.0,binary,True,0.32911288738250705,1.02255762892459,0.346476801197878,0.0334117335379541,2.384185791015625e-06,0.364008129469572,1,1,1
1,F200704_VACUUM4_20,F200704,VACUUM,4,20.0,noisy,False,2.6601965427398704,0.513602284078376,0.961230815797426,0.7813663283976411,2.0160198211669917,6.64928987343436,3,4,3
2,F200709_SNOW4_10,F200709,SNOW,4,10.0,wiener,False,1.90014898777008,0.514198205007728,0.833547719451894,0.517164935934059,-0.001963376998901367,6.461019158722169,4,4,4
3,F200606_WASHING4_10,F200606,WASHING,4,10.0,noisy,False,2.9597780704498304,0.389115006543374,0.941843438014306,0.831074510195915,5.721707344055176,11.6697434229049,3,3,4
4,F200603_VACUUM4_10,F200603,VACUUM,4,10.0,binary,False,2.35301685333252,0.8655589690493249,0.930448067045017,0.70234952507587,4.781680107116699,12.037012850627699,3,3,3
5,F200605_SNOW4_10,F200605,SNOW,4,10.0,wiener,True,2.82504296302795,0.600178756817135,0.8979872966852009,0.7481633081846141,5.464181900024414,10.4544669123731,4,4,4
6,F200707_WASHING4_10,F200707,WASHING,4,10.0,binary,False,3.26375317573547,0.262605754344472,0.9290997208268729,0.828345638787069,7.513742446899414,20.7852062640867,4,4,5
7,F200510_VACUUM2_0,F200510,VACUUM,2,0.0,noisy,False,1.26578426361084,1.5509155112430901,0.674297669774461,0.34628006274495604,3.947910368442536,5.29232073877753,2,2,1
8,F200605_WASHING4_0,F200605,WASHING,4,0.0,wiener,False,2.08382296562195,0.661879022345343,0.852016482637643,0.628037301436563,5.974292755126952,6.795059318094231,4,4,4
9,F200605_WASHING0_20,F200605,WASHING,0,20.0,bayes,False,3.7646698951721205,0.12370374369054901,0.9770854735469471,0.998323133808437,3.617899417877197,10.7381360581317,5,5,5
10,F200505_WASHING3_-20,F200505,WASHING,3,-20.0,binary,True,0.32911288738250705,1.02255762892459,0.346476801197878,0.0334117335379541,2.384185791015625e-06,0.364008129469572,1,1,1
11,F200610_SNOW0_20,F200610,SNOW,0,20.0,binary,False,3.5657987594604506,0.237204297538376,0.945502412996989,0.919259292943972,2.254316806793213,21.2462294419712,4,5,3
12,F200601_WASHING2_20,F200601,WASHING,2,20.0,noisy,False,3.73452377319336,0.10952327024462599,0.988987111406783,0.9724782683834721,3.1022047996521,14.9979437226759,4,4,4
13,F200703_SNOW0_0,F200703,SNOW,0,0.0,binary,False,1.06327390670776,1.21252438273834,0.6601288706148389,0.26305071416487696,-0.0006958705489523709,1.2780745800458502,1,1,1
14,F200703_WASHING0_0,F200703,WASHING,0,0.0,bayes,True,2.04026651382446,0.7491173975246941,0.8564430903954291,0.62297462112475,7.818624377250671,8.77890084464334,5,3,3
15,F200503_WASHING2_-10,F200503,WASHING,2,-10.0,bayes,False,1.78217089176178,1.00561911210131,0.51716706120379,0.31371973795342895,12.694945037364961,13.382308292543199,2,2,2
16,F200504_VACUUM2_-20,F200504,VACUUM,2,-20.0,wiener,False,1.07545292377472,1.68386512090617,0.402903424819248,0.0228110940706031,-1.6689300537109375e-05,0.757036365408631,1,1,1
17,F200705_VACUUM4_-20,F200705,VACUUM,4,-20.0,binary,False,0.49842301011085494,1.83090522142147,0.25243060368425696,0.0395596906332526,4.090890884399413,3.2486511678445096,1,1,1
18,F200510_WASHING2_-20,F200510,WASHING,2,-20.0,noisy,False,0.449002206325531,1.6038228889267798,0.283035338068432,0.0569792503116365,15.769804120063784,3.83973971413962,1,1,1
19,F200606_WASHING2_-10,F200606,WASHING,2,-10.0,wiener,False,1.29613351821899,1.12983550149533,0.625042768261881,0.218998423496172,11.523591727018356,5.29337744313824,2,2,1
20,F200701_VACUUM2_-10,F200701,VACUUM,2,-10.0,binary,False,0.950073957443237,1.87745764950408,0.5363266664468039,0.23447393744407102,2.255755066871643,4.84112189453246,1,1,1
21,F200508_WASHING1_-10,F200508,WASHING,1,-10.0,binary,True,1.9019694328308099,1.13787119089067,0.496614582120003,0.301689566405347,15.107010006904602,16.7821265925325,2,2,1
22,F200604_VACUUM1_10,F200604,VACUUM,1,10.0,noisy,False,2.00597453117371,1.13944925409305,0.8096111243745742,0.6360637027646421,1.6916251182556152,10.6562577095868,3,2,2
23,F200505_SNOW3_0,F200505,SNOW,3,0.0,binary,False,1.61482286453247,1.1336065853523603,0.679016738988308,0.3496099590002619,6.602765321731567,8.20080528839961,2,1,1
24,F200705_SNOW1_20,F200705,SNOW,1,20.0,binary,False,3.34295296669006,0.299628718649893,0.9831147405871479,0.871395378293946,2.413766384124756,13.464375799082598,4,4,3
25,F200605_WASHING1_-10,F200605,WASHING,1,-10.0,wiener,False,1.8541548252105702,0.9008978509309492,0.6676401447443321,0.425149969075959,13.10802161693573,15.1516233884267,3,2,1
26,F200708_VACUUM4_0,F200708,VACUUM,4,0.0,bayes,False,1.3614518642425502,1.5039716344757899,0.6750550548290459,0.405619205067988,7.124931812286378,7.6913599485811295,3,3,1
27,F200707_WASHING0_20,F200707,WASHING,0,20.0,noisy,False,3.55926418304443,0.22596722224680602,0.981071576355547,0.952236808923056,3.1192374229431152,16.9477628823155,5,5,4
28,F200607_VACUUM3_20,F200607,VACUUM,3,20.0,noisy,True,3.3748581409454306,0.42005686960905003,0.9645528196209558,0.8460402875325509,2.891252040863037,11.118850354323001,3,3,4
