filename,speech_name,noise_name,realization,SNR,technique,pesq,stoi,srmr
F200501_SNOW0_-20,F200501,SNOW,0,-20.0,noisy,1.0909996032714844,0.2671470044989062,0.3065827831800477
F200501_SNOW0_-10,F200501,SNOW,0,-10.0,noisy,0.6801646947860718,0.3385165200597946,0.3202660194708206
F200501_SNOW0_-5,F200501,SNOW,0,-5.0,noisy,0.7970062494277954,0.4324356370380269,0.4025189159921535
F200501_SNOW0_0,F200501,SNOW,0,0.0,noisy,1.1010593175888062,0.5589101321956653,0.8068344479481875
F200501_SNOW0_5,F200501,SNOW,0,5.0,noisy,1.5084537267684937,0.7006695522166821,2.188945084257316
F200501_SNOW0_10,F200501,SNOW,0,10.0,noisy,1.9323099851608276,0.8291891603332515,5.230335522615654
F200501_SNOW0_20,F200501,SNOW,0,20.0,noisy,2.7087860107421875,0.9676661274743209,11.222359069360968
F200501_SNOW0_inf,F200501,SNOW,0,inf,noisy,4.5,0.9999999999999989,12.969130681099783
F200501_SNOW1_-20,F200501,SNOW,1,-20.0,noisy,0.37053489685058594,0.27206942979811427,0.4636492518673518
F200501_SNOW1_-10,F200501,SNOW,1,-10.0,noisy,0.3749658167362213,0.3402655844389836,0.47879135240953585
F200501_SNOW1_-5,F200501,SNOW,1,-5.0,noisy,0.8393402695655823,0.4304013217464951,0.5722342404678303
F200501_SNOW1_0,F200501,SNOW,1,0.0,noisy,1.1746753454208374,0.5579224328365666,1.0119461288284748
F200501_SNOW1_5,F200501,SNOW,1,5.0,noisy,1.5569891929626465,0.7030080227888815,2.4915181991815887
F200501_SNOW1_10,F200501,SNOW,1,10.0,noisy,1.9505585432052612,0.8329852795742728,5.591699545102231
F200501_SNOW1_20,F200501,SNOW,1,20.0,noisy,2.7331745624542236,0.9645929959588536,11.32919969546863
F200501_SNOW1_inf,F200501,SNOW,1,inf,noisy,4.5,0.9999999999999989,12.969130681099783
F200501_SNOW2_-20,F200501,SNOW,2,-20.0,noisy,0.41735267639160156,0.2618078336516289,0.4031098500907607
F200501_SNOW2_-10,F200501,SNOW,2,-10.0,noisy,0.5403396487236023,0.33745458631092334,0.42639481780989824
F200501_SNOW2_-5,F200501,SNOW,2,-5.0,noisy,0.8562113642692566,0.4327674153476803,0.527918747088131
F200501_SNOW2_0,F200501,SNOW,2,0.0,noisy,1.1233793497085571,0.5636231981908775,0.9558124250923866
F200501_SNOW2_5,F200501,SNOW,2,5.0,noisy,1.5009807348251343,0.7094383059798809,2.347015814057565
F200501_SNOW2_10,F200501,SNOW,2,10.0,noisy,1.9204821586608887,0.8398324229937736,5.328848507009335
F200501_SNOW2_20,F200501,SNOW,2,20.0,noisy,2.6800239086151123,0.9698748578967576,11.14566763368609
F200501_SNOW2_inf,F200501,SNOW,2,inf,noisy,4.5,0.9999999999999989,12.969130681099783
F200501_SNOW3_-20,F200501,SNOW,3,-20.0,noisy,0.45778247714042664,0.2493334784645351,0.5290712035186955
F200501_SNOW3_-10,F200501,SNOW,3,-10.0,noisy,0.4031035006046295,0.3113782110732986,0.5277854990680394
F200501_SNOW3_-5,F200501,SNOW,3,-5.0,noisy,0.9435125589370728,0.4028652980782348,0.5882065440703538
F200501_SNOW3_0,F200501,SNOW,3,0.0,noisy,1.0941991806030273,0.5407211155438264,0.9720186567616323
F200501_SNOW3_5,F200501,SNOW,3,5.0,noisy,1.5049926042556763,0.6988043101755911,2.4401629958023787
F200501_SNOW3_10,F200501,SNOW,3,10.0,noisy,1.9240100383758545,0.8361462326133238,5.7354446837593045
F200501_SNOW3_20,F200501,SNOW,3,20.0,noisy,2.6805789470672607,0.9700302857713423,11.703593789342522
F200501_SNOW3_inf,F200501,SNOW,3,inf,noisy,4.5,0.9999999999999989,12.969130681099783
