filename,speech_name,noise_name,realization,SNR,technique,pesq,stoi,srmr,llr,csii
F200501_VACUUM3_-5,F200501,VACUUM,3,-5,noisy,1.22794485092163,0.508954150207227,0.989226402827465,1.80093990953094,0.290183213426672
F200501_VACUUM3_0,F200501,VACUUM,3,0,noisy,1.35220634937286,0.601463634215982,2.19123335273856,1.67430275145489,0.390905251368509
F200501_VACUUM3_5,F200501,VACUUM,3,5,noisy,1.55803108215332,0.702484619982458,4.85045813225742,1.46218786055342,0.518940978274818
F200501_VACUUM3_10,F200501,VACUUM,3,10,noisy,1.83697950839996,0.808072822773836,8.27034040940385,1.1993054096812,0.640353077293528
F200501_VACUUM3_20,F200501,VACUUM,3,20,noisy,2.49563407897949,0.955901226761151,12.0644940410692,0.703863875858416,0.807276588902605
F200501_VACUUM3_inf,F200501,VACUUM,3,Inf,noisy,4.5,0.999999999999999,12.9691306810998,0,1
F200501_VACUUM4_-20,F200501,VACUUM,4,-20,noisy,0.598637640476227,0.342994886271223,0.565942453381249,1.84919006593407,0.0513301445238167
F200501_VACUUM4_-10,F200501,VACUUM,4,-10,noisy,0.745542347431183,0.453395283521019,0.662452498848583,1.83917001531172,0.189683925495383
F200501_VACUUM4_-5,F200501,VACUUM,4,-5,noisy,1.21359288692474,0.531312968657443,1.03989833431138,1.79082143243533,0.276755207487732
F200501_VACUUM4_0,F200501,VACUUM,4,0,noisy,1.35786819458008,0.617082472393061,2.24608391534774,1.67033386877689,0.379604299682708
F200501_VACUUM4_5,F200501,VACUUM,4,5,noisy,1.58767509460449,0.711483218908471,4.86909876457825,1.45676957295728,0.507613341892104
F200501_VACUUM4_10,F200501,VACUUM,4,10,noisy,1.86611676216125,0.809672822258382,8.18437911594896,1.18954045391464,0.631506981881059
F200501_VACUUM4_20,F200501,VACUUM,4,20,noisy,2.49126935005188,0.95527554810387,11.9702640904381,0.693890410662794,0.805776482947406
F200501_VACUUM4_inf,F200501,VACUUM,4,Inf,noisy,4.5,0.999999999999999,12.9691306810998,0,1
F200501_WASHING0_-20,F200501,WASHING,0,-20,noisy,0.559122681617737,0.325582919120288,0.365526586613186,1.07648263976427,0.0165134180936025
F200501_WASHING0_-10,F200501,WASHING,0,-10,noisy,0.924385130405426,0.538570325749552,0.464165341458803,0.900936331078806,0.256146871845413
F200501_WASHING0_-5,F200501,WASHING,0,-5,noisy,1.32762587070465,0.692129998050194,0.861699664456278,0.746640995924924,0.414735713002652
F200501_WASHING0_0,F200501,WASHING,0,0,noisy,1.78719615936279,0.815323965127852,2.15938716122956,0.57322206405851,0.574734398390316
F200501_WASHING0_5,F200501,WASHING,0,5,noisy,2.18047451972961,0.897144569573232,5.02385020437004,0.412453217585046,0.737327380734143
F200501_WASHING0_10,F200501,WASHING,0,10,noisy,2.55840826034546,0.943334356960867,8.65298927435445,0.287407979655442,0.8954948878828
F200501_WASHING0_20,F200501,WASHING,0,20,noisy,3.4021782875061,0.979772761324127,12.342126380885,0.137469103306046,0.995859648496234
F200501_WASHING0_inf,F200501,WASHING,0,Inf,noisy,4.5,0.999999999999999,12.9691306810998,0,1
F200501_WASHING1_-20,F200501,WASHING,1,-20,noisy,0.308627754449844,0.319147553636588,0.357551198089053,1.0708253941674,0.0261573944205048
F200501_WASHING1_-10,F200501,WASHING,1,-10,noisy,0.929646551609039,0.525766116758466,0.437267572555568,0.888352218845418,0.264408419525898
F200501_WASHING1_-5,F200501,WASHING,1,-5,noisy,1.32240176200867,0.673595580520022,0.781129590665809,0.727125701476145,0.41771451686394
F200501_WASHING1_0,F200501,WASHING,1,0,noisy,1.761155128479,0.793242137985341,1.95608540649302,0.55936428584407,0.573778490671914
F200501_WASHING1_5,F200501,WASHING,1,5,noisy,2.17032742500305,0.874418366348611,4.58411137171778,0.40859017992121,0.733340707522865
F200501_WASHING1_10,F200501,WASHING,1,10,noisy,2.55062007904053,0.926534774847117,8.02256831237195,0.288552857243859,0.889083992442497
F200501_WASHING1_20,F200501,WASHING,1,20,noisy,3.30882382392883,0.978517197639894,11.9495389474915,0.148275004229892,0.996440007305466
F200501_WASHING1_inf,F200501,WASHING,1,Inf,noisy,4.5,0.999999999999999,12.9691306810998,0,1
F200501_WASHING2_-20,F200501,WASHING,2,-20,noisy,0.369534105062485,0.335412840978222,0.374922352834509,1.08336884275481,0.0379573798263604
F200501_WASHING2_-10,F200501,WASHING,2,-10,noisy,0.945053815841675,0.55331005118872,0.46998539383296,0.88966460831923,0.277565624847438
F200501_WASHING2_-5,F200501,WASHING,2,-5,noisy,1.35864663124084,0.698652656090413,0.878952460272594,0.729237028944645,0.429422154609098
F200501_WASHING2_0,F200501,WASHING,2,0,noisy,1.79933440685272,0.813376760048838,2.22030321875836,0.553154420649,0.585135596860316
F200501_WASHING2_5,F200501,WASHING,2,5,noisy,2.21615767478943,0.885388990703314,5.11111783925104,0.401051938374973,0.744976546974978
F200501_WASHING2_10,F200501,WASHING,2,10,noisy,2.58353900909424,0.931870947177684,8.67611088771716,0.282813680708114,0.897982114016312
F200501_WASHING2_20,F200501,WASHING,2,20,noisy,3.4022479057312,0.979509865952042,12.3039301059794,0.139697881878479,0.996287855820963
F200501_WASHING2_inf,F200501,WASHING,2,Inf,noisy,4.5,0.999999999999999,12.9691306810998,0,1
F200501_WASHING3_-20,F200501,WASHING,3,-20,noisy,0.395992368459702,0.309559899878376,0.419016142276336,1.08579504653024,0.0202813453828101
F200501_WASHING3_-10,F200501,WASHING,3,-10,noisy,0.930911242961884,0.538023443080215,0.544687395808195,0.878684420180131,0.271534766787986
F200501_WASHING3_-5,F200501,WASHING,3,-5,noisy,1.34613180160522,0.689762275340744,1.00592491186056,0.714613119847071,0.429543201401695
F200501_WASHING3_0,F200501,WASHING,3,0,noisy,1.8014190196991,0.802162125049249,2.4260542744153,0.542543323385904,0.58881718522455
F200501_WASHING3_5,F200501,WASHING,3,5,noisy,2.21277832984924,0.873326238660124,5.33029159679128,0.389721993384714,0.751057049072587
F200501_WASHING3_10,F200501,WASHING,3,10,noisy,2.60934948921204,0.923339050442416,8.79262320393972,0.269801353910135,0.904641595602054
F200501_WASHING3_20,F200501,WASHING,3,20,noisy,3.4315927028656,0.978374939044542,12.2849853789042,0.127373381849828,0.996067022962711
F200501_WASHING3_inf,F200501,WASHING,3,Inf,noisy,4.5,0.999999999999999,12.9691306810998,0,1
F200501_WASHING4_-20,F200501,WASHING,4,-20,noisy,0.524622857570648,0.320558222448251,0.392933297695713,1.10692576554164,0.0318720344757518
F200501_WASHING4_-10,F200501,WASHING,4,-10,noisy,0.952191889286041,0.532785995539599,0.504216008098907,0.922676089081966,0.257167929397487
F200501_WASHING4_-5,F200501,WASHING,4,-5,noisy,1.35225427150726,0.678674840187561,0.91462737059434,0.765904945456959,0.410266850530789
F200501_WASHING4_0,F200501,WASHING,4,0,noisy,1.79322338104248,0.795491157638712,2.22566369057321,0.587462754488343,0.56840605823835
F200501_WASHING4_5,F200501,WASHING,4,5,noisy,2.19125270843506,0.876168064929943,4.9659368952939,0.425238849064681,0.730505765716374
F200501_WASHING4_10,F200501,WASHING,4,10,noisy,2.562424659729,0.929367305689131,8.36344813618507,0.299356831696468,0.886275905509735
F200501_WASHING4_20,F200501,WASHING,4,20,noisy,3.37762808799744,0.97838205531287,12.0605210233431,0.150181472840631,0.996523943134794
F200501_WASHING4_inf,F200501,WASHING,4,Inf,noisy,4.5,0.999999999999999,12.9691306810998,0,1
F200502_SNOW0_-20,F200502,SNOW,0,-20,noisy,0.683303117752075,0.308514991072099,0.286186369198186,1.31491327420049,0.00630716395999715
F200502_SNOW0_-10,F200502,SNOW,0,-10,noisy,0.863389670848846,0.406633714471562,0.31414785636956,1.26418397842934,0.0355957570249951
F200502_SNOW0_-5,F200502,SNOW,0,-5,noisy,1.08699190616608,0.496313127155337,0.448507183754296,1.17106914647504,0.0950776306506513
F200502_SNOW0_0,F200502,SNOW,0,0,noisy,1.40394771099091,0.590236720406419,0.968704411090125,0.998894792394018,0.18891648821845
F200502_SNOW0_5,F200502,SNOW,0,5,noisy,1.81638157367706,0.682408444567268,2.5130007390135,0.781988516438194,0.329162895824908
F200502_SNOW0_10,F200502,SNOW,0,10,noisy,2.18792343139648,0.779595023933789,5.63176451580003,0.568120584980874,0.482773373248
F200502_SNOW0_20,F200502,SNOW,0,20,noisy,2.90852904319763,0.935734118321787,11.5938885852869,0.256822269540841,0.791989322160382
F200502_SNOW0_inf,F200502,SNOW,0,Inf,noisy,4.5,0.999999999999998,13.1485283049534,0,1
F200502_SNOW1_-20,F200502,SNOW,1,-20,noisy,0.672938406467438,0.269388671836239,0.282384216653723,1.36724437824782,0.00262774224060972
F200502_SNOW1_-10,F200502,SNOW,1,-10,noisy,0.744114756584167,0.35925509734346,0.31962977764168,1.31637058742205,0.0283572282313922
F200502_SNOW1_-5,F200502,SNOW,1,-5,noisy,1.14716792106628,0.452235880387569,0.450130820978636,1.22291130510734,0.0796055229531666
F200502_SNOW1_0,F200502,SNOW,1,0,noisy,1.46429324150085,0.56170791970097,0.942940124928681,1.05657348175847,0.173580500532483
F200502_SNOW1_5,F200502,SNOW,1,5,noisy,1.83130180835724,0.670045922925931,2.40825244561416,0.837641741844122,0.317862074460759
F200502_SNOW1_10,F200502,SNOW,1,10,noisy,2.18501615524292,0.777570351993979,5.42193286201131,0.607437241055904,0.472697659588433
F200502_SNOW1_20,F200502,SNOW,1,20,noisy,2.88828778266907,0.930682691859922,11.4435026765347,0.285950943839939,0.778407367004076
F200502_SNOW1_inf,F200502,SNOW,1,Inf,noisy,4.5,0.999999999999998,13.1485283049534,0,1
F200502_SNOW2_-20,F200502,SNOW,2,-20,noisy,0.721149861812592,0.287987995585535,0.325591796214884,1.33536446763201,0.00377593563142579
F200502_SNOW2_-10,F200502,SNOW,2,-10,noisy,1.02290570735931,0.388915906920447,0.342465963135863,1.27438537701533,0.0340226231018193
F200502_SNOW2_-5,F200502,SNOW,2,-5,noisy,1.17392611503601,0.48484117815534,0.47434962070615,1.15967408934542,0.0971352421161158
F200502_SNOW2_0,F200502,SNOW,2,0,noisy,1.45717167854309,0.592116282997518,1.03154394907831,0.984865079303952,0.202985959911919
F200502_SNOW2_5,F200502,SNOW,2,5,noisy,1.83078122138977,0.704834966449081,2.70501978465346,0.771879265088245,0.339360223637775
F200502_SNOW2_10,F200502,SNOW,2,10,noisy,2.19169139862061,0.813946994842207,5.98699081987765,0.561552261134949,0.487847676846663
F200502_SNOW2_20,F200502,SNOW,2,20,noisy,2.89905738830566,0.945588663025089,11.7769270695567,0.273931140854785,0.792049190639846
F200502_SNOW2_inf,F200502,SNOW,2,Inf,noisy,4.5,0.999999999999998,13.1485283049534,0,1
F200502_SNOW3_-20,F200502,SNOW,3,-20,noisy,0.795795917510986,0.270996846081605,0.398173448485081,1.36442845336154,0.00657537065807795
F200502_SNOW3_-10,F200502,SNOW,3,-10,noisy,0.859604775905609,0.344893872702254,0.441741421847301,1.30988311580005,0.0352964922731124
F200502_SNOW3_-5,F200502,SNOW,3,-5,noisy,1.16084718704224,0.435669736578581,0.596573066587368,1.2166833814224,0.0801632618388747
F200502_SNOW3_0,F200502,SNOW,3,0,noisy,1.49139451980591,0.550826932838022,1.15396269256622,1.04964599252329,0.18422650751434
F200502_SNOW3_5,F200502,SNOW,3,5,noisy,1.85241460800171,0.673267170674206,2.7843624833905,0.833367278977217,0.328294169062853
F200502_SNOW3_10,F200502,SNOW,3,10,noisy,2.19356155395508,0.78967159723955,6.01304688130388,0.608118700934669,0.479821100638055
F200502_SNOW3_20,F200502,SNOW,3,20,noisy,2.89904093742371,0.938679697545413,11.7816299804175,0.295668066226457,0.785672795031343
F200502_SNOW3_inf,F200502,SNOW,3,Inf,noisy,4.5,0.999999999999998,13.1485283049534,0,1
F200502_SNOW4_-20,F200502,SNOW,4,-20,noisy,0.774282276630402,0.255413016243974,0.293733681873359,1.25568573102913,0.00320956667133813
F200502_SNOW4_-10,F200502,SNOW,4,-10,noisy,0.903648495674133,0.359115043623954,0.327479500129632,1.17655961130243,0.0447639212028161
F200502_SNOW4_-5,F200502,SNOW,4,-5,noisy,1.14329838752747,0.458845218052804,0.470815826402178,1.05160392456101,0.126767355465676
F200502_SNOW4_0,F200502,SNOW,4,0,noisy,1.47679376602173,0.573864581028149,1.02236872936509,0.862053504514395,0.255768386419774
F200502_SNOW4_5,F200502,SNOW,4,5,noisy,1.89263880252838,0.691278413357976,2.62352532354907,0.653431666443477,0.402602874979264
F200502_SNOW4_10,F200502,SNOW,4,10,noisy,2.26854610443115,0.797632703517207,5.76897284691936,0.468640224262814,0.555659596507754
F200502_SNOW4_20,F200502,SNOW,4,20,noisy,3.03061962127686,0.93740836316748,11.5841504298652,0.219200772283655,0.855748121305643
F200502_SNOW4_inf,F200502,SNOW,4,Inf,noisy,4.5,0.999999999999998,13.1485283049534,0,1
F200502_VACUUM0_-20,F200502,VACUUM,0,-20,noisy,0.693151831626892,0.335591515947508,0.890125318505288,1.70662475279123,0.050665599440101
F200502_VACUUM0_-10,F200502,VACUUM,0,-10,noisy,1.14049470424652,0.48404546092319,0.966845925611161,1.67397213735338,0.164328161449995
F200502_VACUUM0_-5,F200502,VACUUM,0,-5,noisy,1.28291952610016,0.568464194893927,1.34531371282649,1.59010869494611,0.241062162839693
F200502_VACUUM0_0,F200502,VACUUM,0,0,noisy,1.47184062004089,0.652650687628814,2.53068885156016,1.42180930015711,0.336350661854029
F200502_VACUUM0_5,F200502,VACUUM,0,5,noisy,1.74612772464752,0.735123866878353,5.05078369668577,1.20161634939606,0.445552352469041
F200502_VACUUM0_10,F200502,VACUUM,0,10,noisy,2.10666346549988,0.811759108471985,8.30835768760358,0.961935738447763,0.555393531303447
F200502_VACUUM0_20,F200502,VACUUM,0,20,noisy,2.82034945487976,0.933814059390743,12.1679120688826,0.52563484870609,0.744164584374238
F200502_VACUUM0_inf,F200502,VACUUM,0,Inf,noisy,4.5,0.999999999999998,13.1485283049534,0,1
F200502_VACUUM1_-20,F200502,VACUUM,1,-20,noisy,0.713190793991089,0.318548053046784,0.733861906637248,1.6864667056863,0.0280705018120107
F200502_VACUUM1_-10,F200502,VACUUM,1,-10,noisy,1.270059466362,0.433121537746253,0.800781527392906,1.67149326247836,0.13661694803376
F200502_VACUUM1_-5,F200502,VACUUM,1,-5,noisy,1.40022146701813,0.506603211193322,1.12090065314444,1.60957526138638,0.207110860865334
F200502_VACUUM1_0,F200502,VACUUM,1,0,noisy,1.62495350837708,0.589252248478189,2.13580345612671,1.458376771987,0.291981361223476
F200502_VACUUM1_5,F200502,VACUUM,1,5,noisy,1.89572417736053,0.67803194596927,4.42761834058753,1.24055866333006,0.406311195024431
F200502_VACUUM1_10,F200502,VACUUM,1,10,noisy,2.15960764884949,0.771108327217809,7.70744037673085,1.00065052745692,0.529959862985879
F200502_VACUUM1_20,F200502,VACUUM,1,20,noisy,2.74418115615845,0.934872602582831,12.0303563605119,0.567563759538792,0.727152959890247
F200502_VACUUM1_inf,F200502,VACUUM,1,Inf,noisy,4.5,0.999999999999998,13.1485283049534,0,1
F200502_VACUUM2_-20,F200502,VACUUM,2,-20,noisy,0.743094623088837,0.334304272929135,0.910599516750301,1.65669712844475,0.0513961976766137
F200502_VACUUM2_-10,F200502,VACUUM,2,-10,noisy,2.52936840057373,0.4370110647013,0.936902689353973,1.62887780348605,0.150534478550829
F200502_VACUUM2_-5,F200502,VACUUM,2,-5,noisy,1.32486319541931,0.510051748405747,1.19938310772591,1.5599537872935,0.21656879229898
F200502_VACUUM2_0,F200502,VACUUM,2,0,noisy,1.55839776992798,0.599559241559428,2.12823882913687,1.41381528934864,0.300793670625688
F200502_VACUUM2_5,F200502,VACUUM,2,5,noisy,1.84135687351227,0.700609943190911,4.34327451731134,1.18977280778063,0.41993255571928
F200502_VACUUM2_10,F200502,VACUUM,2,10,noisy,2.12236261367798,0.804348655109104,7.63420787906012,0.935036479455264,0.552469868127065
F200502_VACUUM2_20,F200502,VACUUM,2,20,noisy,2.75615930557251,0.954842896565187,12.0708982098962,0.510498097998028,0.762020109698761
F200502_VACUUM2_inf,F200502,VACUUM,2,Inf,noisy,4.5,0.999999999999998,13.1485283049534,0,1
F200502_VACUUM3_-20,F200502,VACUUM,3,-20,noisy,1.75533425807953,0.342754557941448,0.529006645545885,1.7027232741463,0.0280502022045736
F200502_VACUUM3_-10,F200502,VACUUM,3,-10,noisy,1.15300631523132,0.471285370073552,0.614685196388222,1.67773779648315,0.137058441171454
F200502_VACUUM3_-5,F200502,VACUUM,3,-5,noisy,1.3949863910675,0.54256860460119,0.947312256998742,1.59530999840404,0.215885329699235
F200502_VACUUM3_0,F200502,VACUUM,3,0,noisy,1.60724675655365,0.61534323871685,1.98499322132851,1.42472988504115,0.305950744907095
F200502_VACUUM3_5,F200502,VACUUM,3,5,noisy,1.86684238910675,0.700652154551401,4.28220603671675,1.20848450886398,0.419300093668986
F200502_VACUUM3_10,F200502,VACUUM,3,10,noisy,2.10258316993713,0.800876114037979,7.56399392581578,0.966721811676517,0.540742335931529
F200502_VACUUM3_20,F200502,VACUUM,3,20,noisy,2.66936182975769,0.945694183711234,12.0259932599851,0.541110848029134,0.73905704723452
F200502_VACUUM3_inf,F200502,VACUUM,3,Inf,noisy,4.5,0.999999999999998,13.1485283049534,0,1
F200502_VACUUM4_-20,F200502,VACUUM,4,-20,noisy,1.09570133686066,0.327426544885328,1.04360545536799,1.73925365184882,0.0210488478410327
F200502_VACUUM4_-10,F200502,VACUUM,4,-10,noisy,1.22393929958344,0.4528004316807,1.06076144491625,1.71291042048667,0.126412189369366
F200502_VACUUM4_-5,F200502,VACUUM,4,-5,noisy,1.38176870346069,0.533253203455786,1.35614176274282,1.63231713109337,0.197738552277768
F200502_VACUUM4_0,F200502,VACUUM,4,0,noisy,1.61837375164032,0.616474272948947,2.4049068125672,1.47818167657377,0.284309598297141
F200502_VACUUM4_5,F200502,VACUUM,4,5,noisy,1.90010190010071,0.706294531593797,4.79891778062576,1.24534370698522,0.398538547665084
F200502_VACUUM4_10,F200502,VACUUM,4,10,noisy,2.16877508163452,0.799597998682578,8.11634073493716,0.988001649669232,0.523349331242509
F200502_VACUUM4_20,F200502,VACUUM,4,20,noisy,2.76773285865784,0.941873520535724,12.2222612907037,0.552341129282389,0.727190569535789
F200502_VACUUM4_inf,F200502,VACUUM,4,Inf,noisy,4.5,0.999999999999998,13.1485283049534,0,1
F200502_WASHING0_-20,F200502,WASHING,0,-20,noisy,0.979899346828461,0.328828659017773,0.375746029325032,1.04935939136237,0.0195240904544627
